Decoded Name,Potential target
camcity.local,Adult Webcam
aerioncorp.com,Aerion Corporation
ad.azarthritis.com,Arizona Arthritis & Rheumatology Associates
banccentral.com,BancCentral Financial Services Corp.
bcofsa.com.ar,Banco de Formosa
belkin.com,Belkin International
bisco.int,Bisco International
cds.capilanou.,Capilano University
christieclinic.com,Christie Clinic Telehealth
cisco.com,Cisco
ggsg-us.cisco,Cisco GGSG
barrie.ca,City of Barrie
fmtn.ad,City of Farmington
city.kingston.on.ca,"City of Kingston, Ontario, Canada"
moncton.loc,City of Moncton
pageaz.gov,City of Page
csnt.princegeor,City of Prince George
cityofsacramento,City of Sacramento
clinicasierravista.org,Clinica Sierra Vista
mnh.rg-law.ac.il,"College of Law and Business, Israel"
siskiyous.edu,"College of the Siskiyous, California"
yorkton.cofy,Community Options for Families & Youth
cosgroves.local,Cosgroves
cys.local,CYS Group
us.deloitte.co,Deloitte
deniz.denizbank,DenizBank
digitalsense.co,Digital Sense
ci.dublin.ca.us,"Dublin, California"
dufferincounty.on.ca,"Dufferin County, Ontario, Canada"
ecobank.group,Ecobank
fidelitycomm.lo,Fidelity Communications
ansc.gob.pe,GOB 
prod.hamilton.,Hamilton Company
helixwater.org,Helix Water District
e-idsolutions.,IDSolutions
ies.com,IES Communications 
insead.org,INSEAD Business School
ironform.com,Ironform
itps.uk.net,ITPS
kcpl.com,Kansas City Power and Light Company
keyano.local,Keyano College
lufkintexas.net,Lufkin
int.lukoil-international.uz,Lukoil
magnoliaisd.loc,Magnolia Independent School District
ad001.mtk.lo,Mediatek
milledgeville.local,"milledgeville, Georgia"
mixonhill.com,Mixon Hill
mountsinai.hosp,Mount Sinai Hospital
mountsinai.hospital,"Mount Sinai Hospital, New York"
mutualofomahabank.com,Mutual of Omaha Bank
neophotonics.co,NeoPhotonics Corporation
netdecisions.lo,Netdecisions
usd373.org,Newton Public Schools
nswhealth.net,NSW Health
nvidia.com,Nvidia
ad.optimizely.,"Optimizely, Software Company"
orient-express.com,Orient Express
central.pima.gov,"Pima County, Arizona"
corp.ptci.com,Pioneer Telephone Scholarship Recipients
pqcorp.com,PQ Corporation
pcsco.com,Professional Computer Systems
phabahamas.org,"Public Hospitals Authority, Caribbean"
rbe.sk.ca,Regina Public Schools
resprod.com,Res Group
SamuelMerritt.edu,Samuel Merritt University
corp.sana.com,Sana Biotechnology
spsd.sk.ca,Saskatoon Public Schools
signaturebank.l,Signature Bank
sm-group.local,SM Group
sdch.local,South Davis Community Hospital
sfsi.stearnsban,Stearns Bank
corp.stingraydi,Stingray
corp.stratusnet,Stratus Networks
te.nz,TE Connectivity
bop.com.pk,The Bank of Punjab
fisherbartoninc.com,The Fisher Barton Group
vantagedatacenters.local,Vantage Data Centers
ville.terrebonn,Ville de Terrebonne
voceracommunications.com,Vocera Communications
wrbaustralia.ad,W. R. Berkley Insurance Australia
oslerhc.org,William Osler Health System
xnet.kz,X NET
zippertubing.com,Zippertubing
