Orion Platform Version,Sunburst Backdoor Code Present,File Version,SHA-256
2019.4,Tampered but not backdoored,2019.4.5200.8890,a25cadd48d70f6ea0c4a241d99c5241269e6faccb4054e62d16784640f8e53bc
2019.4 HF1,No,2019.4.5200.8950,9bee4af53a8cdd7ecabe5d0c77b6011abe887ac516a5a22ad51a058830403690
2019.4 HF2,No,2019.4.5200.8996,bb86f66d11592e3312cd03423b754f7337aeebba9204f54b745ed3821de6252d
2019.4 HF3,No,2019.4.5200.9001,ae6694fd12679891d95b427444466f186bcdcc79bc0627b590e0cb40de1928ad
2019.4 HF4,No,2019.4.5200.9045,9d6285db647e7eeabdb85b409fad61467de1655098fec2e25aeb7770299e9fee
2020.2 RC1,Yes,2020.2.100.12219,dab758bf98d9b36fa057a66cd0284737abf89857b73ca89280267ee7caf62f3b
2019.4 HF5,Yes,2019.4.5200.9083,32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77
2020.2 RC2,Yes,2020.2.5200.12394,019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134
2020.2,Yes,2020.2.5300.12432,ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6
2020.2 HF1,Yes,2020.2.5300.12432,ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6
2019.4 HF6,No,2019.4.5200.9106,8dfe613b00d495fb8905bdf6e1317d3e3ac1f63a626032fa2bdad4750887ee8a
2020.2.1,No,2020.2.15300.12766,143632672dcb6ef324343739636b984f5c52ece0e078cfee7c6cac4a3545403a
2020.2.1 HF1,No,2020.2.15300.12766,143632672dcb6ef324343739636b984f5c52ece0e078cfee7c6cac4a3545403a
2020.2.1 HF2,No,2020.2.15300.12901,cc870c07eeb672ab33b6c2be51b173ad5564af5d98bfc02da02367a9e349a76f
